                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                  1.168,                 1.3486,                 1.2874,                0.76978,                0.76434,                0.81292,                 0.6225,                0.55059,                 1.2816,                 0.7446,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1586,                 1.3159,                 1.2866,                 0.7683,                0.75995,                0.81316,                0.62189,                0.54789,                 1.2903,                  0.744,               0.006337,               0.006337,               0.006337
                     76,                  1.162,                 1.3479,                 1.2841,                0.77529,                0.75798,                0.81101,                 0.6226,                0.54596,                 1.3016,                0.74363,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.153,                 1.2864,                  1.282,                0.77026,                0.75611,                0.81395,                 0.6268,                0.54345,                 1.3207,                0.74349,               0.006238,               0.006238,               0.006238
                     78,                 1.1499,                 1.2618,                 1.2812,                0.77525,                0.75148,                0.81031,                0.62567,                0.54219,                 1.3392,                0.74315,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1579,                    1.3,                 1.2866,                0.76961,                0.74372,                0.81568,                0.62599,                0.54188,                 1.3352,                0.74312,               0.006139,               0.006139,               0.006139
                     80,                 1.1436,                 1.3023,                 1.2731,                0.74993,                0.75777,                0.81144,                0.62163,                0.54362,                  1.326,                0.74407,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1448,                 1.3104,                  1.279,                0.80794,                0.73066,                0.80947,                 0.6201,                  0.544,                 1.3473,                0.74403,                0.00604,                0.00604,                0.00604
                     82,                 1.1513,                 1.2925,                 1.2859,                0.80742,                 0.7353,                0.80984,                0.62161,                0.54362,                 1.3926,                0.74326,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1457,                 1.2901,                 1.2769,                0.80746,                0.73365,                0.81416,                0.62105,                0.54275,                 1.4441,                0.74206,               0.005941,               0.005941,               0.005941
                     84,                 1.1363,                 1.2827,                  1.269,                0.80859,                0.73606,                0.81604,                0.62456,                0.54292,                 1.5144,                0.74278,              0.0058915,              0.0058915,              0.0058915
                     85,                   1.15,                 1.3059,                 1.2764,                0.81442,                0.73085,                0.81184,                0.62421,                0.54379,                 1.5335,                0.74384,               0.005842,               0.005842,               0.005842
                     86,                  1.145,                 1.2909,                 1.2776,                0.81101,                0.73248,                0.81043,                0.62255,                0.54412,                 1.5337,                0.74368,              0.0057925,              0.0057925,              0.0057925
                     87,                  1.139,                 1.2748,                 1.2735,                0.80606,                0.74156,                0.81022,                0.62277,                0.54637,                 1.4982,                0.74282,               0.005743,               0.005743,               0.005743
                     88,                 1.1356,                 1.2533,                 1.2628,                0.80132,                0.74315,                  0.809,                 0.6206,                0.54554,                 1.5251,                 0.7418,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1256,                  1.261,                 1.2678,                0.80311,                0.74392,                0.80731,                0.62306,                0.54069,                  1.463,                0.74016,               0.005644,               0.005644,               0.005644
                     90,                 1.1367,                  1.264,                 1.2755,                0.79412,                0.75231,                0.80769,                0.62052,                0.53733,                  1.388,                0.73959,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1409,                 1.2665,                 1.2801,                0.79552,                 0.7544,                0.81076,                0.62404,                0.53594,                 1.3484,                0.73924,               0.005545,               0.005545,               0.005545
                     92,                 1.1407,                 1.2688,                 1.2673,                0.80112,                0.75237,                0.81505,                 0.6282,                0.53257,                 1.3168,                0.73883,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1191,                 1.2494,                 1.2622,                0.80392,                0.77245,                0.82043,                 0.6321,                 0.5321,                 1.2922,                0.73936,               0.005446,               0.005446,               0.005446
                     94,                 1.1233,                  1.267,                  1.264,                0.79724,                0.75279,                0.81984,                0.62856,                0.53084,                 1.3062,                   0.74,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1332,                 1.2817,                  1.265,                0.80368,                0.76666,                0.82157,                 0.6313,                0.53347,                  1.309,                0.73987,               0.005347,               0.005347,               0.005347
                     96,                 1.1187,                 1.2289,                 1.2619,                0.79851,                0.76938,                0.82298,                0.63092,                0.53344,                 1.2841,                0.73967,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.1244,                 1.2471,                 1.2687,                0.82546,                0.76556,                0.82632,                0.63412,                0.53543,                 1.2431,                0.73965,               0.005248,               0.005248,               0.005248
                     98,                 1.1255,                 1.2455,                 1.2655,                0.81953,                0.76084,                0.82413,                0.63175,                0.53817,                 1.2471,                0.73976,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.1192,                 1.2162,                 1.2497,                0.81901,                0.75723,                0.82492,                0.63412,                0.54131,                 1.2292,                0.74026,               0.005149,               0.005149,               0.005149
                    100,                 1.1165,                  1.267,                  1.251,                0.79786,                0.77521,                0.83138,                0.63719,                 0.5428,                 1.2118,                0.74042,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.1209,                 1.2518,                  1.253,                0.80871,                0.76672,                0.83095,                0.63804,                0.54529,                 1.1844,                0.74088,                0.00505,                0.00505,                0.00505
                    102,                 1.1002,                 1.2163,                 1.2438,                0.80668,                0.76452,                0.83013,                0.63768,                0.54627,                 1.1899,                0.74087,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.0984,                 1.2036,                 1.2432,                0.78782,                0.78332,                0.83083,                0.63738,                0.54778,                 1.1753,                0.74169,               0.004951,               0.004951,               0.004951
                    104,                 1.1129,                 1.2008,                  1.258,                0.81817,                0.77142,                0.83214,                0.63766,                0.54607,                 1.2043,                0.74215,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.1096,                 1.2092,                 1.2562,                0.78724,                0.78606,                0.83227,                0.63826,                0.54408,                 1.2701,                0.74313,               0.004852,               0.004852,               0.004852
                    106,                 1.0906,                 1.1955,                 1.2355,                0.79317,                0.78421,                0.82828,                0.63866,                0.54188,                 1.2844,                0.74203,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.1121,                 1.2121,                 1.2544,                0.78502,                0.79897,                0.82812,                0.63778,                0.54003,                 1.3337,                0.74112,               0.004753,               0.004753,               0.004753
                    108,                 1.0993,                  1.217,                 1.2457,                 0.7754,                0.78894,                0.82701,                0.63665,                0.53748,                 1.3726,                0.74096,              0.0047035,              0.0047035,              0.0047035
                    109,                  1.095,                 1.1779,                 1.2496,                0.76654,                0.79197,                0.82501,                0.63486,                0.53681,                 1.3797,                0.74106,               0.004654,               0.004654,               0.004654
                    110,                 1.0877,                 1.2118,                 1.2354,                0.75458,                0.79286,                0.82374,                0.63448,                0.53788,                 1.4046,                0.74065,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.0914,                 1.1803,                  1.245,                0.75744,                0.78153,                0.82059,                0.63073,                0.53812,                 1.3944,                0.74006,               0.004555,               0.004555,               0.004555
                    112,                 1.0999,                 1.1816,                 1.2458,                0.76472,                0.77177,                0.81994,                 0.6307,                0.53832,                 1.4077,                 0.7394,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.0933,                 1.1688,                 1.2366,                0.76935,                0.77288,                 0.8221,                0.63119,                0.53725,                 1.4783,                0.73865,               0.004456,               0.004456,               0.004456
                    114,                 1.0878,                 1.1554,                 1.2357,                0.74796,                0.80561,                0.82118,                0.63087,                 0.5359,                 1.5636,                0.73806,              0.0044065,              0.0044065,              0.0044065
                    115,                 1.0816,                 1.1628,                 1.2382,                0.74299,                0.79743,                0.82081,                0.63019,                0.53444,                 1.6797,                0.73832,               0.004357,               0.004357,               0.004357
                    116,                 1.0928,                 1.1632,                 1.2453,                0.81933,                0.73455,                0.82139,                 0.6321,                0.53315,                 1.6665,                 0.7382,              0.0043075,              0.0043075,              0.0043075
                    117,                  1.072,                 1.1896,                 1.2238,                0.82021,                0.73415,                0.82383,                0.63072,                0.53367,                  1.582,                0.73846,               0.004258,               0.004258,               0.004258
                    118,                 1.0809,                 1.1471,                 1.2351,                 0.8061,                0.75451,                0.82553,                0.63343,                0.53521,                  1.485,                0.73909,              0.0042085,              0.0042085,              0.0042085
                    119,                  1.083,                  1.153,                 1.2342,                0.80729,                0.75191,                0.82266,                0.63463,                0.53719,                  1.493,                0.73939,               0.004159,               0.004159,               0.004159
                    120,                 1.0906,                 1.1927,                 1.2342,                0.80337,                0.74641,                 0.8225,                0.63331,                0.53638,                 1.4517,                0.73955,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.0827,                 1.1573,                 1.2349,                0.75925,                0.79301,                0.82206,                0.63261,                0.53686,                 1.3942,                0.73925,                0.00406,                0.00406,                0.00406
                    122,                 1.0791,                 1.1835,                 1.2313,                0.76206,                0.78606,                0.82381,                0.63242,                 0.5378,                  1.314,                0.73917,              0.0040105,              0.0040105,              0.0040105
                    123,                 1.0625,                 1.1536,                 1.2265,                0.74868,                0.79438,                0.82398,                0.63264,                0.53918,                 1.1918,                0.73826,               0.003961,               0.003961,               0.003961
                    124,                  1.065,                 1.1327,                 1.2285,                 0.7387,                0.79153,                0.82483,                0.63346,                0.54171,                 1.1284,                0.73883,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.0725,                 1.1169,                 1.2326,                0.73733,                0.79711,                0.82451,                 0.6357,                0.54044,                 1.0773,                0.73846,               0.003862,               0.003862,               0.003862
                    126,                 1.0667,                 1.1095,                  1.224,                0.73574,                 0.7848,                0.82426,                0.63577,                0.54074,                 1.0636,                0.73802,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.0675,                 1.1232,                 1.2247,                0.75134,                0.79383,                0.82156,                0.63321,                0.54237,                 1.0309,                 0.7378,               0.003763,               0.003763,               0.003763
                    128,                 1.0654,                 1.1375,                 1.2236,                0.75427,                0.79033,                0.81846,                0.63494,                0.53838,                 1.0547,                0.73709,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.0588,                 1.0857,                 1.2193,                0.75806,                0.78956,                0.81778,                0.63524,                0.53733,                 1.0692,                0.73721,               0.003664,               0.003664,               0.003664
                    130,                 1.0511,                 1.1225,                 1.2158,                 0.7505,                 0.7904,                0.81799,                0.63683,                0.53675,                 1.0672,                0.73721,              0.0036145,              0.0036145,              0.0036145
                    131,                 1.0398,                 1.1103,                 1.2133,                0.75974,                0.78531,                0.81867,                0.63686,                0.53433,                 1.0306,                 0.7369,               0.003565,               0.003565,               0.003565
                    132,                 1.0571,                 1.1082,                 1.2214,                0.75345,                0.79218,                0.81552,                0.63688,                0.53636,                 1.0489,                0.73733,              0.0035155,              0.0035155,              0.0035155
                    133,                 1.0381,                 1.0871,                 1.2032,                0.75337,                0.79196,                0.81367,                0.63384,                0.53663,                  1.034,                0.73742,               0.003466,               0.003466,               0.003466
                    134,                 1.0384,                 1.0795,                 1.2047,                0.75334,                0.79245,                0.81204,                0.63295,                0.53806,                 1.0676,                0.73693,              0.0034165,              0.0034165,              0.0034165
                    135,                 1.0244,                  1.062,                 1.2018,                0.76126,                0.78373,                0.81313,                0.63281,                0.53836,                 1.0993,                0.73676,               0.003367,               0.003367,               0.003367
                    136,                  1.038,                 1.0429,                 1.2082,                0.75464,                0.77936,                0.81445,                0.63598,                0.54031,                  1.143,                 0.7359,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.0193,                 1.0328,                 1.1954,                0.74229,                0.78283,                0.81158,                0.63475,                0.54168,                 1.1193,                0.73685,               0.003268,               0.003268,               0.003268
                    138,                 1.0328,                  1.061,                 1.2053,                0.73725,                0.79033,                0.80634,                0.62996,                 0.5418,                 1.1026,                0.73706,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.0219,                 1.0619,                 1.1913,                0.73617,                0.78882,                0.80749,                0.62984,                0.54157,                0.98954,                0.73693,               0.003169,               0.003169,               0.003169
                    140,                 1.0142,                 1.0394,                 1.1946,                0.73182,                0.79215,                0.80881,                0.63322,                0.54597,                0.95929,                0.73713,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.0206,                 1.0587,                 1.2006,                 0.7364,                0.78797,                  0.808,                0.63217,                0.54963,                0.95358,                0.73812,                0.00307,                0.00307,                0.00307
                    142,                 1.0142,                 1.0347,                 1.1897,                0.73426,                0.78824,                0.80866,                0.62963,                0.54903,                0.88295,                0.73805,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.0084,                 1.0025,                 1.1885,                0.75491,                0.79477,                0.81185,                0.63404,                0.54798,                0.88247,                0.73806,               0.002971,               0.002971,               0.002971
